//max-127
bombusmod.net.ru/caps,BombusMod.net.ru	BombusMod
bombus-im.org/java	Bombus
bombus-im.org/ng,bombus-im.org/ng#0.0.5.430,bombus-im.org/ng#0.0.5.431,bombus-im.org/ng#0.0.5.432	Bombus-NG
psi-im.org/caps	Psi
miranda-im.org/caps	Miranda
voffk.org.ru/bombus	Bombus+
www.google.com/xmpp/client/caps	Google
tkabber.jabber.ru/	Tkabber
gajim.org/caps,gajim.org	Gajim
qip.ru/caps	QIP
pidgin.im/caps	Pidgin
kopete.kde.org/jabber/caps	Kopete
exodus.jabberstudio.org/caps	Exodus
Siemens Native Jabber Client 3.0.0-Z-r2619,Siemens Native Jabber Client 3.0.0-Z-r2755,Siemens Native Jabber Client 3.0.0-Z-r2257,Siemens Native Jabber Client 3.0.0-Z-r2166,Siemens Native Jabber Client 3.0.0-Z-r2580,Siemens Native Jabber Client 3.0.0-Z-r2229,Siemens Native Jabber Client 3.0.0-Z-r2581,Siemens Native Jabber Client 3.0.0-Z-r2601	SieJC
bitlbee.org/xmpp/caps	BitlBee
coccinella.sourceforge.net/protocol/caps	Coccinella
mcabber.lilotux.net/caps,mcabber.com/caps	mcabber
www.apple.com/ichat/caps	iChatAgent
dev.jabbim.cz/jabbim/caps	Jabbim
bombus.pl/caps	BombusMod (PL)
Home,home	Home
Work,work,office,Office	Work
jajc.jrudevels.org/caps,jajc,JAJC	JAJC
java.util.Random,0.ru,1.ru,2.ru,3.ru,4.ru,5.ru,6.ru,7.ru,8.ru,9.ru,avalon,[bombus],[Bombus]	Bombus Avalon
smaper	Sm@per
mchat.mgslab.com/#JabberIn-2.4.43,mchat.mgslab.com/#JabberIn-2.5.33,mchat.mgslab.com/#JabberIn-2.5.32,mchat.mgslab.com/#JabberIn-2.3.30,mchat.mgslab.com/#JabberIn-2.0.12,mchat.mgslab.com/#JabberIn-1.6.5,mChat	mChat
gaim.sf.net/caps	Gaim
online.yandex.ru/caps	Ya.Online
qutim.org/caps,qutim.org	qutIM
vacuum	Vacuum
bombusmod-qd.wen.ru/caps	BombusQD
ex-im.name/caps	EX
jimm.net.ru/caps,Jimm	Jimm
www.talkonaut.com/caps,www.talkonaut.com/,talkonaut.ru/caps,talkonaut.ru/	Talkonaut
Lampiro,lampiro	Lampiro
nimbuzz.com/caps,nimbuzz.com	Nimbuzz
movamessenger.com/caps,movamessenger.com	movamessenger
psi-dev.googlecode.com/caps	Psi+
agent.mail.ru/caps,agent.mail.ru/	MailAgent
www.barobin.com/caps,www.barobin.com/	Bayan
simak.ru/caps,simak.ru/tt/caps	Simak.ru
jeti.sf.net/caps,jeti,JETI,Jeti	JETI
trillian.cc/caps,trillian.cc,Trillian,trillian	Trillian
wokjab.nedo.se/caps,wokjab.nedo.se,wokjab,Wokjab,WokJab	WokJab
www.adiumx.com/caps,www.adiumx.com,Adium,adium	Adium
svn.xmpp.ru/repos/mrim	Mrim-transport
jit.mytlt.ru	Icq-transport
